SOURCE_ID,RA,DEC,pmRA,pmDE,e_pmRA,e_pmDE,BTmag,e_BTmag,VTmag,e_VTmag,r,err_r,g,err_g,i,err_i,J,e_J,H,e_H,K,e_K,Qflg,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,proba,Teff,e_Teff,Lbol,e_Lbol
1838,56.05799373,24.779387,21.2,-46.0,1.8,1.8,11.748,0.112,10.918,0.092,10.583,0.1,11.136,0.027,10.416,0.044,9.53,0.024,9.172,0.032,9.062,0.022,AAA,9.028,0.023,9.084,0.021,9.023,0.035,7.581,0.179,0.996580314720812,5500.0,125.0,0.8008961,0.14473611
1850,56.08369257,24.79618721,18.4,-44.3,1.6,1.7,11.174,0.071,10.495,0.058,10.374,0.1,11.067,0.023,10.337,0.035,9.339,0.023,8.996,0.031,8.9,0.02,AAA,8.872,0.023,8.901,0.021,8.858,0.035,8.4,0.33,0.997079462404961,5500.0,125.0,0.99330735,0.17498446
1884,56.16980966,24.81853979,17.0,-46.3,1.5,1.5,10.394,0.04,9.913,0.037,9.7,0.01899999938905239,10.406,0.168,9.606,0.044,8.783,0.021,8.54,0.038,8.513,0.023,AAA,8.443,0.024,8.457,0.022,8.433,0.027,7.572,0.144,0.998794533801195,6000.0,125.0,1.7592976,0.30911914
1888,56.17425109,22.46456969,24.4,-40.7,2.1,2.2,11.694,0.097,11.024,0.09,10.587,0.1,11.096,0.044,10.337,0.014,9.477,0.021,9.14,0.021,9.072,0.02,AAA,8.999,0.023,9.035,0.02,9.124,0.039,,,0.960715300398795,5500.0,125.0,0.80987155,0.14493266
1890,56.17987562,25.87551289,18.9,-46.4,2.5,2.5,12.465,0.257,11.298,0.119,11.395,0.1,12.148,0.062,11.122,0.058,10.031,0.027,9.669,0.03,9.52,0.02,AAA,9.405,0.024,9.443,0.022,9.333,0.038,,,0.786028654828772,5000.0,125.0,0.46143138,0.08927408
1893,56.18690347,20.74800669,19.6,-43.5,1.1,1.0,9.132,0.019,8.769,0.017,,,,,,,7.943,0.018,7.788,0.018,7.747,0.016,AAA,7.681,0.025,7.68,0.021,7.723,0.019,8.015,0.207,0.989859160065134,6750.0,125.0,4.544019,0.74607515
1905,56.22104459,26.14220773,26.1,-43.2,2.8,2.9,14.639,0.823,11.354,0.127,12.135,0.1,,,,,10.589,0.027,10.027,0.034,9.929,0.018,AAA,,,,,,,,,0.965889056760901,4750.0,125.0,0.23778258,0.037941735
1914,56.24550194,22.03245364,17.8,-43.0,1.1,1.0,10.046,0.034,9.497,0.028,9.353,0.1,10.229,0.028,9.245,0.049,8.52,0.018,8.349,0.033,8.278,0.019,AAA,8.187,0.022,8.237,0.019,8.232,0.021,8.117,0.255,0.99530996630434,6000.0,125.0,2.2740226,0.39799955
1918,56.2568984,19.55936511,14.3,-46.1,1.2,1.2,10.005,0.031,9.442,0.026,9.293,0.010999999940395355,,,,,8.404,0.021,8.225,0.031,8.152,0.021,AAA,8.086,0.024,8.111,0.02,8.106,0.021,8.014,0.218,0.626014684401695,6250.0,125.0,2.6100054,0.4335282
1922,56.2667002,25.25784644,18.0,-43.5,1.6,1.6,11.419,0.076,10.954,0.078,10.462,0.1,11.09,0.03,10.356,0.044,9.435,0.024,9.146,0.033,9.041,0.018,AAA,9.003,0.023,9.032,0.021,8.881,0.034,,,0.978958215367691,5500.0,125.0,0.85407794,0.15159236
1926,56.27724648,24.26351314,20.0,-45.0,1.1,1.0,8.954,0.021,8.552,0.017,9.189,0.15299999713897705,9.803,0.166,8.676,0.077,7.892,0.023,7.767,0.033,7.738,0.024,AAA,7.682,0.024,7.69,0.02,7.601,0.02,6.609,0.085,0.997300595692518,7000.0,125.0,5.0389986,0.84359413
1930,56.28163004,21.99597754,22.7,-47.0,1.6,1.7,11.941,0.134,11.125,0.1,10.924,0.1,11.639,0.028,10.638,0.022,9.568,0.021,9.146,0.021,9.037,0.019,AAA,8.929,0.023,8.979,0.019,8.902,0.028,8.712,0.374,0.976032240722453,5000.0,125.0,0.69370705,0.12580648
